tid,population,white,indigenous,black,asian,minority,adult,income,home,rent
2050001.00,3820.00,3085.00,185.00,365.00,140.00,45.00,3060.00,30071.00,241737.00,647.00
2050002.00,6045.00,5180.00,240.00,280.00,280.00,65.00,5055.00,31630.00,332449.00,701.00
2050003.00,2650.00,1930.00,25.00,55.00,590.00,50.00,2355.00,37808.00,885647.00,1197.00
2050004.01,3515.00,2420.00,65.00,145.00,775.00,110.00,3355.00,24192.00,438599.00,1002.00
2050004.02,4645.00,3125.00,100.00,175.00,895.00,350.00,4420.00,20133.00,504598.00,1025.00
2050005.00,1865.00,1665.00,10.00,10.00,180.00,0.00,1505.00,59520.00,980098.00,1156.00
2050006.00,2825.00,2450.00,15.00,55.00,225.00,80.00,2615.00,30896.00,708703.00,1054.00
2050007.00,1630.00,1235.00,50.00,15.00,250.00,80.00,1605.00,36147.00,508262.00,1244.00
2050008.00,2710.00,1850.00,70.00,65.00,505.00,220.00,2650.00,26432.00,547939.00,1334.00
2050009.00,2170.00,1365.00,85.00,100.00,500.00,120.00,2095.00,33680.00,367576.00,1104.00
2050010.00,5000.00,3315.00,245.00,765.00,410.00,265.00,4490.00,23844.00,377405.00,892.00
2050011.00,5460.00,4365.00,175.00,100.00,640.00,180.00,4975.00,28864.00,437439.00,1067.00
2050012.00,2385.00,2110.00,25.00,30.00,180.00,40.00,2140.00,32051.00,597514.00,1184.00
2050013.00,2595.00,2355.00,55.00,30.00,100.00,55.00,2170.00,46016.00,651573.00,950.00
2050014.00,3940.00,3530.00,55.00,80.00,205.00,70.00,3505.00,40992.00,369242.00,1027.00
2050015.00,4820.00,3805.00,225.00,310.00,260.00,220.00,4075.00,28203.00,210381.00,766.00
2050016.00,3725.00,2870.00,135.00,80.00,520.00,120.00,3235.00,38251.00,335606.00,1103.00
2050017.00,2955.00,2370.00,40.00,10.00,185.00,350.00,2355.00,48784.00,473829.00,984.00
2050018.00,3565.00,3110.00,110.00,40.00,260.00,45.00,3130.00,34397.00,389955.00,846.00
2050019.00,4940.00,4470.00,135.00,60.00,180.00,95.00,4405.00,36954.00,382477.00,1091.00
2050020.00,1795.00,1580.00,90.00,50.00,60.00,15.00,1720.00,31317.00,379221.00,997.00
2050021.00,3370.00,2525.00,155.00,520.00,115.00,55.00,2775.00,34160.00,353258.00,924.00
2050022.00,5270.00,4445.00,220.00,320.00,200.00,85.00,4725.00,35959.00,290856.00,933.00
2050023.00,4545.00,2975.00,225.00,375.00,495.00,475.00,3800.00,25627.00,305997.00,923.00
2050024.00,7330.00,5670.00,225.00,415.00,625.00,395.00,6390.00,31828.00,292627.00,949.00
2050025.01,4635.00,3075.00,155.00,345.00,735.00,325.00,3835.00,27280.00,237252.00,810.00
2050025.02,4790.00,3670.00,155.00,240.00,380.00,345.00,4215.00,30560.00,338670.00,810.00
2050100.00,3795.00,3170.00,295.00,165.00,75.00,90.00,3105.00,31104.00,193559.00,1201.00
2050101.00,3175.00,2770.00,180.00,100.00,80.00,45.00,2880.00,29248.00,207141.00,832.00
2050102.00,4525.00,4030.00,175.00,155.00,105.00,60.00,4060.00,34572.00,327949.00,875.00
2050103.00,4120.00,3650.00,160.00,115.00,105.00,90.00,3645.00,35984.00,265961.00,869.00
2050104.01,1910.00,1715.00,75.00,60.00,45.00,15.00,1725.00,37197.00,210047.00,929.00
2050104.02,8120.00,7105.00,195.00,145.00,565.00,110.00,6955.00,43832.00,335596.00,1421.00
2050108.00,4880.00,4390.00,95.00,75.00,195.00,125.00,4210.00,43746.00,359103.00,1174.00
2050109.00,3050.00,2645.00,130.00,135.00,140.00,0.00,2825.00,34731.00,271887.00,828.00
2050110.00,1495.00,1125.00,60.00,195.00,80.00,35.00,1275.00,23264.00,309798.00,731.00
2050111.00,3115.00,2665.00,150.00,130.00,160.00,10.00,2840.00,29696.00,200508.00,811.00
2050112.00,1990.00,1600.00,150.00,220.00,20.00,0.00,1750.00,25568.00,178562.00,706.00
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,